"","coffeid","typeid","value"
"182",12,6,"coffee quality institute"
"183",12,7,"antioquia"
"184",12,8,"Alfredo De JesÃºs LÃ³pez PÃ©rez"
"185",12,9,"1 kg"
"186",12,10,"AlmacafÃ©"
"187",12,11,"2014"
"188",12,12,"Other"
"189",12,13,"Washed / Wet"
"190",12,14,""
"191",12,15,"AlmacafÃ©"
"192",12,16,"m"
"193",13,1,"Arabica"
"194",13,2,"cqi q coffee sample representative"
"195",13,3,"United States"
"196",13,4,"los cedros"
"197",13,5,""
"198",13,6,"coffee quality institute"
"199",13,7,"antioquia"
"200",13,8,"Jorge Walter Restrepo"
"201",13,9,"1 kg"
"202",13,10,"AlmacafÃ©"
"203",13,11,"2014"
"204",13,12,"Other"
"205",13,13,"Washed / Wet"
"206",13,14,""
"207",13,15,"AlmacafÃ©"
"208",13,16,"m"
"209",14,1,"Arabica"
"210",14,2,"grounds for health admin"
"211",14,3,"United States (Hawaii)"
"212",14,4,"arianna farms"
"213",14,5,""
"214",14,6,""
"215",14,7,"kona"
"216",14,8,"Robert, Sharon, Arianna Wood"
"217",14,9,"1"
"218",14,10,"Specialty Coffee Association"
"219",14,11,"Sept 2009 - April 2010"
"220",14,12,""
"221",14,13,""
"222",14,14,""
"223",14,15,"Specialty Coffee Association"
"224",14,16,"ft"
"225",15,1,"Arabica"
"226",15,2,"ethiopia commodity exchange"
"227",15,3,"Ethiopia"
"228",15,4,"aolme"
"229",15,5,"c.p.w.e"
"230",15,6,""
"231",15,7,"oromiya"
"232",15,8,"Bazen Agricultural & Industrial Dev't Plc"
"233",15,9,"60 kg"
"234",15,10,"Ethiopia Commodity Exchange"
"235",15,11,"March 2010"
"236",15,12,""
"237",15,13,""
"238",15,14,""
"239",15,15,"Ethiopia Commodity Exchange"
"240",15,16,"m"
"241",16,1,"Arabica"
"242",16,2,"cqi q coffee sample representative"
"243",16,3,"United States"
"244",16,4,"el Ã¡guila"
"245",16,5,""
"246",16,6,"coffee quality institute"
"247",16,7,"antioquia"
"248",16,8,"MarÃ­a Leticia Diosa"
"249",16,9,"1 kg"
"250",16,10,"AlmacafÃ©"
"251",16,11,"2014"
"252",16,12,"Other"
"253",16,13,"Washed / Wet"
"254",16,14,""
"255",16,15,"AlmacafÃ©"
"256",16,16,"m"
"257",17,1,"Arabica"
"258",17,2,"grounds for health admin"
"259",17,3,"Indonesia"
"260",17,4,"toarco jaya"
"261",17,5,""
"262",17,6,""
"263",17,7,"sulawesi"
"264",17,8,"P.T. Toarco Jaya"
"265",17,9,"2 kg,lbs"
"266",17,10,"Specialty Coffee Association"
"267",17,11,"May-August"
"268",17,12,""
"269",17,13,""
"270",17,14,""
"271",17,15,"Specialty Coffee Association"
"272",17,16,"m"
"273",18,1,"Arabica"
"274",18,2,"ethiopia commodity exchange"
"275",18,3,"Ethiopia"
"276",18,4,""
"277",18,5,""
"278",18,6,""
"279",18,7,"yirgacheffe"
"280",18,8,"Green Gold Ethiopia | Phone: 0114342032"
"281",18,9,"6"
"282",18,10,"Ethiopia Commodity Exchange"
"283",18,11,"2009/2010"
"284",18,12,""
"285",18,13,""
"286",18,14,""
"287",18,15,"Ethiopia Commodity Exchange"
"288",18,16,"m"
"289",19,1,"Arabica"
"290",19,2,"yunnan coffee exchange"
"291",19,3,"China"
"292",19,4,"echo coffee"
"293",19,5,"echo coffee mill"
"294",19,6,"yunnan coffee exchange"
"295",19,7,"yunnan"
"296",19,8,"Echo Coffee"
"297",19,9,"60 kg"
"298",19,10,"Yunnan Coffee Exchange"
"299",19,11,"2015"
"300",19,12,"Catimor"
"301",19,13,"Washed / Wet"
"302",19,14,"Green"
"303",19,15,"Yunnan Coffee Exchange"
"304",19,16,"m"
"305",20,1,"Arabica"
"306",20,2,"essencecoffee"
"307",20,3,"Ethiopia"
"308",20,4,"drima zede"
"309",20,5,"drima zede"
"310",20,6,"essence coffee"
"311",20,7,"gedio"
"312",20,8,"LevelUp"
"313",20,9,"60 kg"
"314",20,10,"Blossom Valley International"
"315",20,11,"2014"
"316",20,12,"Ethiopian Yirgacheffe"
"317",20,13,"Natural / Dry"
"318",20,14,""
"319",20,15,"Blossom Valley International"
"320",20,16,"m"
"321",21,1,"Arabica"
"322",21,2,"cqi q coffee sample representative"
"323",21,3,"United States"
"324",21,4,"el rodeo"
"325",21,5,""
"326",21,6,"coffee quality institute"
"327",21,7,"antioquia"
"328",21,8,"NicolÃ¡s Rueda Urrego"
"329",21,9,"1 kg"
"330",21,10,"AlmacafÃ©"
"331",21,11,"2014"
"332",21,12,"Other"
"333",21,13,"Washed / Wet"
"334",21,14,"None"
"335",21,15,"AlmacafÃ©"
"336",21,16,"m"
"337",22,1,"Arabica"
"338",22,2,"the coffee source inc."
"339",22,3,"Costa Rica"
"340",22,4,"several"
"341",22,5,"cafe altura de san ramon"
"342",22,6,"the coffee source inc."
"343",22,7,"san ramon"
"344",22,8,"SEVERAL"
"345",22,9,"3 lbs"
"346",22,10,"Specialty Coffee Association"
"347",22,11,"2014"
"348",22,12,"Caturra"
"349",22,13,"Washed / Wet"
"350",22,14,"Green"
"351",22,15,"Specialty Coffee Association"
"352",22,16,"m"
"353",23,1,"Arabica"
"354",23,2,"roberto licona franco"
"355",23,3,"Mexico"
"356",23,4,"la herradura"
"357",23,5,"la herradura"
"358",23,6,""
"359",23,7,"xalapa"
"360",23,8,"ROBERTO LICONA FRANCO"
"361",23,9,"1 kg"
"362",23,10,"AMECAFE"
"363",23,11,"2012"
"364",23,12,"Other"
"365",23,13,"Washed / Wet"
"366",23,14,"Green"
"367",23,15,"AMECAFE"
"368",23,16,"m"
"369",24,1,"Arabica"
"370",24,2,"cqi q coffee sample representative"
"371",24,3,"United States"
"372",24,4,"la curva"
"373",24,5,""
"374",24,6,"coffee quality institute"
"375",24,7,"antioquia"
"376",24,8,"Silvia Elena Higuita"
"377",24,9,"1 kg"
"378",24,10,"AlmacafÃ©"
"379",24,11,"2014"
"380",24,12,"Other"
"381",24,13,"Washed / Wet"
"382",24,14,""
"383",24,15,"AlmacafÃ©"
"384",24,16,"m"
"385",25,1,"Arabica"
"386",25,2,"ji-ae ahn"
"387",25,3,"Ethiopia"
"388",25,4,""
"389",25,5,""
"390",25,6,""
"391",25,7,"sidamo"
"392",25,8,""
"393",25,9,"60 kg"
"394",25,10,"Specialty Coffee Institute of Asia"
"395",25,11,"2013"
"396",25,12,""
"397",25,13,"Natural / Dry"
"398",25,14,"Bluish-Green"
"399",25,15,"Specialty Coffee Institute of Asia"
"400",25,16,"m"
"401",26,1,"Arabica"
"402",26,2,"nucoffee"
"403",26,3,"Brazil"
"404",26,4,"fazenda kaquend"
"405",26,5,""
"406",26,6,"nucoffee"
"407",26,7,"south of minas"
"408",26,8,"Ralph Junqueira"
"409",26,9,"60 kg"
"410",26,10,"NUCOFFEE"
"411",26,11,"2011"
"412",26,12,"Bourbon"
"413",26,13,"Natural / Dry"
"414",26,14,"Green"
"415",26,15,"NUCOFFEE"
"416",26,16,"m"
"417",27,1,"Arabica"
"418",27,2,"ethiopia commodity exchange"
"419",27,3,"Ethiopia"
"420",27,4,""
"421",27,5,""
"422",27,6,""
"423",27,7,"sidamo"
"424",27,8,"Green Gold Ethiopia | Phone: 0114342032"
"425",27,9,"6"
"426",27,10,"Ethiopia Commodity Exchange"
"427",27,11,"2009/2010"
"428",27,12,""
"429",27,13,""
"430",27,14,""
"431",27,15,"Ethiopia Commodity Exchange"
"432",27,16,"m"
"433",28,1,"Arabica"
"434",28,2,"kabum trading company"
"435",28,3,"Uganda"
"436",28,4,"chebonet (23) women coffee"
"437",28,5,"kabum trading company"
"438",28,6,"kabum trading company"
"439",28,7,"kapchorwa eastern"
"440",28,8,"Kabum trading company"
"441",28,9,"60 kg"
"442",28,10,"Uganda Coffee Development Authority"
"443",28,11,"2013"
"444",28,12,"SL14"
"445",28,13,"Washed / Wet"
"446",28,14,"Green"
"447",28,15,"Uganda Coffee Development Authority"
"448",28,16,"m"
"449",29,1,"Arabica"
"450",29,2,"bismarck castro"
"451",29,3,"Honduras"
"452",29,4,"los hicaques"
"453",29,5,"cigrah s.a de c.v."
"454",29,6,"cigrah s.a de c.v"
"455",29,7,"comayagua"
"456",29,8,"Reinerio Zepeda"
"457",29,9,"69 kg"
"458",29,10,"Instituto HondureÃ±o del CafÃ©"
"459",29,11,"2016"
"460",29,12,"Caturra"
"461",29,13,""
"462",29,14,"Green"
"463",29,15,"Instituto HondureÃ±o del CafÃ©"
"464",29,16,"m"
"465",30,1,"Arabica"
"466",30,2,"lin, che-hao krude ???"
"467",30,3,"Taiwan"
"468",30,4,"tsoustructive garden ???"
"469",30,5,"tsoustructive garden ???"
"470",30,6,"taiwan coffee laboratory"
"471",30,7,"leye, alishan township, chiayi county"
"472",30,8,"FANG,ZHENG-LUN ???"
"473",30,9,"50 kg"
"474",30,10,"Specialty Coffee Association"
"475",30,11,"2015"
"476",30,12,"Sumatra"
"477",30,13,"Pulped natural / honey"
"478",30,14,"Green"
"479",30,15,"Specialty Coffee Association"
"480",30,16,"m"
"481",31,1,"Arabica"
"482",31,2,"nora zeas"
"483",31,3,"Nicaragua"
"484",31,4,""
"485",31,5,"beneficio atlantic condega"
"486",31,6,""
"487",31,7,""
"488",31,8,""
"489",31,9,"6"
"490",31,10,"Specialty Coffee Association"
"491",31,11,""
"492",31,12,""
"493",31,13,""
"494",31,14,""
"495",31,15,"Specialty Coffee Association"
"496",31,16,"m"
"497",32,1,"Arabica"
"498",32,2,"specialty coffee-korea"
"499",32,3,"Tanzania, United Republic Of"
"500",32,4,""
"501",32,5,""
"502",32,6,""
"503",32,7,""
"504",32,8,""
"505",32,9,"60 kg"
"506",32,10,"Specialty Coffee Institute of Asia"
"507",32,11,"2012"
"508",32,12,""
"509",32,13,"Natural / Dry"
"510",32,14,"Bluish-Green"
"511",32,15,"Specialty Coffee Institute of Asia"
"512",32,16,"m"
"513",33,1,"Arabica"
"514",33,2,"nucoffee"
"515",33,3,"Brazil"
"516",33,4,"fazenda recreio"
"517",33,5,""
"518",33,6,"nucoffee"
"519",33,7,"vale da grama"
"520",33,8,"Homero Texeira de Macedo Junior"
"521",33,9,"60 kg"
"522",33,10,"NUCOFFEE"
"523",33,11,"2011"
"524",33,12,"Bourbon"
"525",33,13,"Natural / Dry"
"526",33,14,"Green"
"527",33,15,"NUCOFFEE"
"528",33,16,"m"
"529",34,1,"Arabica"
"530",34,2,"francisco a mena"
"531",34,3,"Costa Rica"
"532",34,4,"exclusive coffees s.a."
"533",34,5,"exclusive coffees s.a,"
"534",34,6,"exclusive coffees s.a."
"535",34,7,"west and central valley"
"536",34,8,"Exclusive Coffees S.A."
"537",34,9,"2 lbs"
"538",34,10,"Specialty Coffee Association of Costa Rica"
"539",34,11,"2015/2016"
"540",34,12,"Caturra"
"541",34,13,"Washed / Wet"
"542",34,14,"Blue-Green"
"543",34,15,"Specialty Coffee Association of Costa Rica"
"544",34,16,"m"
"545",35,1,"Arabica"
"546",35,2,"hider abamecha"
"547",35,3,"Ethiopia"
"548",35,4,"haider abamecha coffee plantation"
"549",35,5,"faysal abamecha processing plant at yebu town"
"550",35,6,"haider abamecha coffee export"
"551",35,7,"oromia"
"552",35,8,"Haider Abamecha Abadiko"
"553",35,9,"60 kg"
"554",35,10,"METAD Agricultural Development plc"
"555",35,11,"2014"
"556",35,12,""
"557",35,13,"Natural / Dry"
"558",35,14,"Green"
"559",35,15,"METAD Agricultural Development plc"
"560",35,16,"m"
"561",36,1,"Arabica"
"562",36,2,"daniel magu"
"563",36,3,"Kenya"
"564",36,4,"kangunu"
"565",36,5,"central kenya coffee mills"
"566",36,6,"c dorman ltd"
"567",36,7,"muranga"
"568",36,8,"Kangunu"
"569",36,9,"1 kg"
"570",36,10,"Kenya Coffee Traders Association"
"571",36,11,"2013"
"572",36,12,"SL34"
"573",36,13,"Washed / Wet"
"574",36,14,"Blue-Green"
"575",36,15,"Kenya Coffee Traders Association"
"576",36,16,"m"
"577",37,1,"Arabica"
"578",37,2,"kona pacific farmers cooperative"
"579",37,3,"United States (Hawaii)"
"580",37,4,""
"581",37,5,""
"582",37,6,"kona pacific farmers cooperative"
"583",37,7,"kona"
"584",37,8,""
"585",37,9,"100 lbs"
"586",37,10,"Specialty Coffee Association"
"587",37,11,"2012"
"588",37,12,"Hawaiian Kona"
"589",37,13,"Natural / Dry"
"590",37,14,""
"591",37,15,"Specialty Coffee Association"
"592",37,16,"ft"
"593",38,1,"Arabica"
"594",38,2,"kona pacific farmers cooperative"
"595",38,3,"United States (Hawaii)"
"596",38,4,"kona pacific farmers cooperative"
"597",38,5,""
"598",38,6,""
"599",38,7,"kona"
"600",38,8,"Kona Pacific Farmers Co-Op"
"601",38,9,"100 lbs"
"602",38,10,"Specialty Coffee Association"
"603",38,11,"2010"
"604",38,12,""
"605",38,13,""
"606",38,14,""
"607",38,15,"Specialty Coffee Association"
"608",38,16,"ft"
"609",39,1,"Arabica"
"610",39,2,"ethiopia commodity exchange"
"611",39,3,"Ethiopia"
"612",39,4,"phone number | 0911-51-08-01, email | at"
"613",39,5,""
"614",39,6,""
"615",39,7,"yirgacheffe"
"616",39,8,"Contact name | ATO Teshome Belamo"
"617",39,9,"6"
"618",39,10,"Ethiopia Commodity Exchange"
"619",39,11,"2009/2010"
"620",39,12,""
"621",39,13,""
"622",39,14,""
"623",39,15,"Ethiopia Commodity Exchange"
"624",39,16,"m"
"625",40,1,"Arabica"
"626",40,2,"cqi q coffee sample representative"
"627",40,3,"United States"
"628",40,4,"la primavera"
"629",40,5,""
"630",40,6,"coffee quality institute"
"631",40,7,"antioquia"
"632",40,8,"Hugo SepÃºlveda Montoya"
"633",40,9,"1 kg"
"634",40,10,"AlmacafÃ©"
"635",40,11,"2014"
"636",40,12,"Other"
"637",40,13,"Washed / Wet"
"638",40,14,""
"639",40,15,"AlmacafÃ©"
"640",40,16,"m"
"641",41,1,"Arabica"
"642",41,2,"itdp international"
"643",41,3,"Thailand"
"644",41,4,"co-op #12"
"645",41,5,""
"646",41,6,"lanna cafe"
"647",41,7,"chiang rai"
"648",41,8,"ITDP"
"649",41,9,"1 kg"
"650",41,10,"Specialty Coffee Association"
"651",41,11,"2012"
"652",41,12,"Caturra"
"653",41,13,"Washed / Wet"
"654",41,14,"Green"
"655",41,15,"Specialty Coffee Association"
"656",41,16,"m"
"657",42,1,"Arabica"
"658",42,2,"jacques pereira carneiro"
"659",42,3,"Brazil"
"660",42,4,"pereira estate coffee"
"661",42,5,"cocarive"
"662",42,6,""
"663",42,7,"sul de minas - carmo de minas"
"664",42,8,"Maria Rogeria Costa Pereira"
"665",42,9,"60 kg"
"666",42,10,"Specialty Coffee Association"
"667",42,11,"2010"
"668",42,12,"Yellow Bourbon"
"669",42,13,""
"670",42,14,""
"671",42,15,"Specialty Coffee Association"
"672",42,16,"m"
"673",43,1,"Arabica"
"674",43,2,"jacques pereira carneiro"
"675",43,3,"Brazil"
"676",43,4,"pereira estate coffee"
"677",43,5,"cocarive"
"678",43,6,""
"679",43,7,"sul de minas - carmo de minas"
"680",43,8,"Maria Rogeria Costa Pereira"
"681",43,9,"60 kg"
"682",43,10,"Specialty Coffee Association"
"683",43,11,"2010"
"684",43,12,"Yellow Bourbon"
"685",43,13,""
"686",43,14,""
"687",43,15,"Specialty Coffee Association"
"688",43,16,"m"
"689",44,1,"Arabica"
"690",44,2,"lin, che-hao krude ???"
"691",44,3,"Taiwan"
"692",44,4,"sunshine valley estate ??????"
"693",44,5,"sunshine valley estate ??????"
"694",44,6,"taiwan coffee laboratory"
"695",44,7,"natou county"
"696",44,8,"LIN YEN CHIEN ???"
"697",44,9,"15 kg"
"698",44,10,"Specialty Coffee Association"
"699",44,11,"2015"
"700",44,12,"Bourbon"
"701",44,13,"Semi-washed / Semi-pulped"
"702",44,14,"Green"
"703",44,15,"Specialty Coffee Association"
"704",44,16,"m"
"705",45,1,"Arabica"
"706",45,2,"jungle estate"
"707",45,3,"Kenya"
"708",45,4,"jungle estate"
"709",45,5,"nkg coffee mills"
"710",45,6,"keremara limited"
"711",45,7,"nyeri"
"712",45,8,"JUNGLE ESTATE"
"713",45,9,"60 kg"
"714",45,10,"Kenya Coffee Traders Association"
"715",45,11,"2014"
"716",45,12,"SL28"
"717",45,13,"Natural / Dry"
"718",45,14,"Bluish-Green"
"719",45,15,"Kenya Coffee Traders Association"
"720",45,16,"m"
"721",46,1,"Arabica"
"722",46,2,"nucoffee"
"723",46,3,"Brazil"
"724",46,4,"fazenda kaquend"
"725",46,5,""
"726",46,6,"nucoffee"
"727",46,7,"south of minas"
"728",46,8,"Ralph Junqueira"
"729",46,9,"60 kg"
"730",46,10,"NUCOFFEE"
"731",46,11,"2011"
"732",46,12,"Bourbon"
"733",46,13,"Semi-washed / Semi-pulped"
"734",46,14,"Blue-Green"
"735",46,15,"NUCOFFEE"
"736",46,16,"m"
"737",47,1,"Arabica"
"738",47,2,"great lakes coffee uganda"
"739",47,3,"Uganda"
"740",47,4,"kaasayi"
"741",47,5,"great lakes coffee"
"742",47,6,"ucda"
"743",47,7,"eastern uganda"
"744",47,8,"Kaasay Farmer Group"
"745",47,9,"60 kg"
"746",47,10,"Uganda Coffee Development Authority"
"747",47,11,"2014"
"748",47,12,""
"749",47,13,"Semi-washed / Semi-pulped"
"750",47,14,""
"751",47,15,"Uganda Coffee Development Authority"
"752",47,16,"m"
"753",48,1,"Arabica"
"754",48,2,"lusso lab"
"755",48,3,"Colombia"
"756",48,4,"ecobio colombia"
"757",48,5,""
"758",48,6,"lusso coffee lab"
"759",48,7,"tolima"
"760",48,8,""
"761",48,9,"2 kg"
"762",48,10,"Specialty Coffee Association"
"763",48,11,"2013"
"764",48,12,"Caturra"
"765",48,13,"Washed / Wet"
"766",48,14,"Green"
"767",48,15,"Specialty Coffee Association"
"768",48,16,"m"
"769",49,1,"Arabica"
"770",49,2,"lusso lab"
"771",49,3,"Kenya"
"772",49,4,"kianjavi"
"773",49,5,""
"774",49,6,"lusso coffee lab"
"775",49,7,"kiambu"
"776",49,8,""
"777",49,9,"1 kg"
"778",49,10,"Specialty Coffee Association"
"779",49,11,"2013"
"780",49,12,"SL28"
"781",49,13,"Washed / Wet"
"782",49,14,"Green"
"783",49,15,"Specialty Coffee Association"
"784",49,16,"m"
"785",50,1,"Arabica"
"786",50,2,"afca"
"787",50,3,"Uganda"
"788",50,4,""
"789",50,5,""
"790",50,6,"kawacom uganda ltd"
"791",50,7,"sipi, mt elgon"
"792",50,8,"Kawacom"
"793",50,9,"60 kg"
"794",50,10,"Africa Fine Coffee Association"
"795",50,11,"2012"
"796",50,12,"Other"
"797",50,13,"Washed / Wet"
"798",50,14,"Blue-Green"
"799",50,15,"Africa Fine Coffee Association"
"800",50,16,"m"
"801",51,1,"Arabica"
"802",51,2,"ethiopia commodity exchange"
"803",51,3,"Ethiopia"
"804",51,4,"contact | sidacoop@ethionet.net"
"805",51,5,"coffee processing and warehouse enterpri"
"806",51,6,""
"807",51,7,"sidamo"
"808",51,8,"Sidama Coffee Farmers Coop. Union"
"809",51,9,"6"
"810",51,10,"Ethiopia Commodity Exchange"
"811",51,11,"2009/2010"
"812",51,12,""
"813",51,13,""
"814",51,14,""
"815",51,15,"Ethiopia Commodity Exchange"
"816",51,16,"m"
"817",52,1,"Arabica"
"818",52,2,"grounds for health admin"
"819",52,3,"United States (Hawaii)"
"820",52,4,"hula daddy kona coffee"
"821",52,5,""
"822",52,6,""
"823",52,7,"kona"
"824",52,8,"Hula Daddy Kona Coffee"
"825",52,9,"2"
"826",52,10,"Specialty Coffee Association"
"827",52,11,"Fall 2009"
"828",52,12,""
"829",52,13,""
"830",52,14,""
"831",52,15,"Specialty Coffee Association"
"832",52,16,"ft"
"833",53,1,"Arabica"
"834",53,2,"juan luis alvarado romero"
"835",53,3,"Guatemala"
"836",53,4,"la esperanza y anexos"
"837",53,5,"beneficio ixchel"
"838",53,6,"unex guatemala, s.a."
"839",53,7,"nuevo oriente"
"840",53,8,"MARGARITA AVILA DE NUYENS"
"841",53,9,"69 kg"
"842",53,10,"Asociacion Nacional Del CafÃ©"
"843",53,11,"2016"
"844",53,12,"Bourbon"
"845",53,13,"Washed / Wet"
"846",53,14,"Green"
"847",53,15,"Asociacion Nacional Del CafÃ©"
"848",53,16,"m"
"849",54,1,"Arabica"
"850",54,2,"kawacom uganda ltd"
"851",54,3,"Uganda"
"852",54,4,"sipi organic coffee project"
"853",54,5,"kawacom"
"854",54,6,"kawacom uganda ltd"
"855",54,7,"eastern"
"856",54,8,"Kawacom (U)Ltd"
"857",54,9,"60 kg"
"858",54,10,"Uganda Coffee Development Authority"
"859",54,11,"2013"
"860",54,12,"SL14"
"861",54,13,"Natural / Dry"
"862",54,14,"Green"
"863",54,15,"Uganda Coffee Development Authority"
"864",54,16,"m"
"865",55,1,"Arabica"
"866",55,2,"exportadora de cafe condor s.a"
"867",55,3,"Colombia"
"868",55,4,""
"869",55,5,"trilladora boananza"
"870",55,6,"exportadora de cafe condor s.a"
"871",55,7,"huila"
"872",55,8,""
"873",55,9,"70 kg"
"874",55,10,"AlmacafÃ©"
"875",55,11,"2013"
"876",55,12,"Caturra"
"877",55,13,"Washed / Wet"
"878",55,14,"Blue-Green"
"879",55,15,"AlmacafÃ©"
"880",55,16,"m"
"881",56,1,"Arabica"
"882",56,2,"gonzalo hernandez"
"883",56,3,"Panama"
"884",56,4,"la berlina estate"
"885",56,5,"beneficio casa ruiz s.a."
"886",56,6,"ce specialty s.a."
"887",56,7,"boquete"
"888",56,8,"Plinio Ruiz"
"889",56,9,"60 kg"
"890",56,10,"Specialty Coffee Association of Costa Rica"
"891",56,11,"2017"
"892",56,12,"Gesha"
"893",56,13,"Washed / Wet"
"894",56,14,"Bluish-Green"
"895",56,15,"Specialty Coffee Association of Costa Rica"
"896",56,16,"m"
"897",57,1,"Arabica"
"898",57,2,"ibrahim hussien speciality coffee producer &export"
"899",57,3,"Ethiopia"
"900",57,4,""
"901",57,5,"burka gudina"
"902",57,6,"ibrahim hussien specality coffee product & exporter"
"903",57,7,"oromia"
"904",57,8,"Ibrahim Hussien Specialty Coffee Producer and Exporter"
"905",57,9,"60 kg"
