"","Kingdom","Phylum","Class","Order","Family","Genus","Scientific Name"
"69","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus Arcticus"
"70","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canus Lupus Arcticus"
"71","Animalia","Arthropoda","Arachnida","Scorpiones","Buthidae","Centruriodes","Centruroides sculpturatus"
"72","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypodidae"
"73","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Mythimna","Mythimna unipuncta"
"74","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","Elephas maximus"
"75","Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Vespa","Vespa mandarinia"
"76","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Paradoxurus","Paradoxurus hermaphroditus"
"77","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus tibetanus"
"78","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"79","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"80","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"81","Animalia","Hemichordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"82","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"83","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"84","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"85","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"86","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"87","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"88","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"89","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"90","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Recurvirostra","Recurvirostra"
"91","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Ambystoma mexicanum"
"92","Animalia","Chordata","Mammalia","Primates","Daubentoniidae","Daubentonia","Daubentonia madagascariensis"
"93","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"94","Animalia","Chordata","Mammalia","Primates","Cercopithecidae","Papio","Papio"
"95","Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus Bactrianus"
"96","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Taxidiinae","Taxidea Taxus"
"97","Animalia","Chordata","Mammalia","Cetartiodactyla","Lipotidae","Liptodes","Liptodes vexillifer"
"98","Animalia","Chordata","Mammalia","Artiodactyla","Eschrichtiidae","Eubalaena and Balaena","Mysticeti"
"99","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"100","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx lynx balcanicus"
"101","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"102","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Hemigalus","Hemigalus Derbyanus"
"103","Animalia","Chordata","Mammalia","Peramelemorphia","Peramelidae","Perameles","Perameles"
"104","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"105","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Barbus","Barbus Barbus"
"106","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"107","Animalia","Chordata","Aves","Strigiformes","Tytonidae","Tyto","Tyto alba"
"108","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica"
"109","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"110","Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","Sphyraena"
"111","Animalia","Chordata","Actinopterygii","Perciformes","Latidae","Lates","Lates calcarifer"
"112","Animalia","Chordata","Aves","Strigiformes","Strigidae","Strix","Strix varia"
"113","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"114","Animalia","Chordata","Chondrichthyes","Lamniformes","Cetorhinidae","Cetorhinus","Cetorhinus Maximus"
"115","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"116","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"117","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"118","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"119","Animalia","Chordata","Mammalia","Chiroptera","Microchiroptera","Emballonuridae","Chiroptera"
"120","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"121","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus familiaris"
"122","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus familiaris"
"123","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"124","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"125","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"126","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"127","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"128","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursidae"
"129","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"130","Animalia","Chordata","Reptilia","Squamata","Agamidae","Pogona","Pogona Vitticeps"
"131","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"132","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"133","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"134","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"135","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos x Bison","Bos taurus × Bison bison"
"136","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"137","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"138","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"139","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Huso","Huso huso"
"140","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera Tigris Tigris"
"141","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"142","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"143","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"144","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"145","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"146","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"147","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"148","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"149","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"150","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Ovis","Ovis canadensis"
"151","Animalia","Chordata","Mammalia","Peramelemorphia","Thylacomyidae","Macrotis","Macrotis lagotis"
"152","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Arctictis","Arctictis binturong"
"153","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"154","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"155","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"156","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bison","Bison Bison"
"157","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"158","Animalia","Chordata","Actinopterygii","Istiophoriformes","Istiophordae","Istiompax","Istiompax Indica"
"159","Animalia","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Diceros","Diceros Bicornis"
"160","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"161","Animalia","Arthropoda","Insecta","Hymenoptera","Sphecidae","Sphex","Sphex pensylvanicus"
"162","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","Latrodectus","Latrodectus"
"163","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela nigripes"
"164","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"165","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Psychrolutidae","Psychrolutes","Psychrolutes marcidus"
"166","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"167","Animalia","Chordata","Aves","Passeriforme","Cardinalidae","Passerina","Passerina caerulea"
"168","Animalia","Chordata","Reptilia","Squamata","Iguanidae","Cyclura","Cyclura lewisi"
"169","Animalia","Chordata","Aves","Passeriformes","Corvidae","Cyanocitta","Cyanocitta cristata"
"170","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"171","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"172","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca"
"173","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balsenoptera musculus"
"174","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"175","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"176","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"177","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"178","Animalia","Chordata","Aves","Passeriformes","Icteridae","Dolichonyx","Dolichonyx oryzivorus"
"179","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"180","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"181","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"182","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"183","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Tragelaphus","Tragelaphus eurycerus"
"184","Animalia","Chordata","Actinopterygii","Scombriformes","Scombridae","Sarda","Sarda"
"185","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna tiburo"
"186","Animalia","Chordata","Mammalia","Primates","Hominidae","Pan","Pan paniscus"
"187","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"188","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"189","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"190","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"191","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"192","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"193","Animalia","Chordata","Mammalia","Primates","Hominidae","Pongo","Pongo pygmaeus"
"194","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","Elephas maximus borneensis"
"195","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"196","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Tursiops","Tursiops Truncatus"
"197","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"198","Animalia","Chordata","Actinopterygii","Amiiformes","Amiidae","Amia","Amia calva"
"199","Animalia","Chordata","Mammalia","Artiodactyla","Balaenidae","Balaena","Balaena mysticetus"
"200","Animalia","Chordata","Reptilia","Testudines","Emydidae","Terrapene","Terrapene carolina"
"201","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"202","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"203","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"204","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"205","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"206","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"207","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"208","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"209","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"210","Animalia","Chordata","Reptilia","Squamata","Chamaeleonidae","Brookesia","Brookesia micra"
"211","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos"
"212","Animalia","Chordata","Mammalia","Carnivora","Hyaenidae","Hyaena","Hyaena brunnea"
"213","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"214","Animalia","Chordata","Mammalia","Carnivors","Canidae","Canis","Canis lupus"
"215","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Melopsittacus","Melopsittacus undulatus"
"216","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Syncerus","Syncerus caffer"
"217","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Carcharhinus","Carcharhinus Leucas"
"218","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"219","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"220","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus"
"221","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"222","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"223","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"224","Animalia","Chordata","Reptilia","Squamata","Pythonidae","Python","Python bivittatus"
"225","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"226","Animalia","Chordata","Aves","Strigiformes","Strigidae","Athene","Athene cunicularia"
"227","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"228","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"229","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"230","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Peromyscus","Peromyscus erimicus"
"231","Animalia","Chordata","Amphibia","Gymnophiona","Caecilidae","Caecilia Linnaeus","Apoda"
"232","Animalia","Chordata","Reptilia","Crocodilia","Alligatoridae","Caimaninae","Caiman crocodilus, Melanosuchus niger, Caiman yacare, Paleosuchus palpebrosus, Paleosuchus trigonatus, Caiman latirostris"
"233","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"234","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"235","Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Camelus","Camelus dromedarius"
"236","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"237","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"238","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"239","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx canadensis"
"240","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"241","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus ferus caballus"
"242","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"243","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera leo melanochaitus"
"244","Animalia","Chordata","Mammalia","Rodentia","Caviidae","Hydrochoerus","Hydrochoerus hydrochaeris"
"245","Animalia","Chordata","Mammalia","Carnivora","Felidae","Caracal","Caracal Caracal"
"246","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Rangifer","Rangifer tarandus"
"247","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"248","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","†Conuropsis","†Conuropsis carolinensis"
"249","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"250","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"251","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"252","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"253","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"254","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"255","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"256","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"257","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"258","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"259","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"260","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"261","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"262","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"263","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"264","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"265","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"266","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Rupicapra","Rupicapra rupicapra"
"267","Animalia","Chordata","Mammalia","Carnivora","Feliformia","Felis","Felis catus"
"268","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"269","Animalia","Chordata","Mammalia","Carnivora","Felidae","Acinonyx","Acinonyx jubatus"
"270","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"271","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"272","Animalia","Chordata","Aves","Galliformes","Phasianidae","Gallus","Gallus gallus"
"273","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"274","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"275","Animalia","Chordata","Mammalia","Primates","Hominidae","Pan","Pan troglodytes"
"276","Animalia","Chordata","Mammalia","Rodentia","Chinchillidae","Chinchilla","Chinchilla Lanigera"
"277","Animalia","Chordata","Reptilia","Crocodilia","Alligatoridae","Alligator","Aliigator sinensis"
"278","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"279","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Anser cygnoides domesticus"
"280","Animalia","Chordata","Actinopterygii","Acipenseriformes","Polyodontidae","Psephurus","Psephurus gladius"
"281","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"282","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"283","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Pygoscelis","Pygoscelis Antarcticus"
"284","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"285","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"286","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"287","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"288","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"289","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"290","Animalia","Arthropoda","Malacostraca","Decapoda","Gecarcinidae","Gecarcoidea","Gecarcoidea natalis"
"291","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"292","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"293","Animalia","Chordata","Mammalia","Carnivora","Felidae","Neofelis","Neofelis nebulosa"
"294","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"295","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"296","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","Nasua nasua"
"297","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"298","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"299","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"300","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
"301","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)","logical(0)"
